domainId,PerilId,domain,entity,effect,chance,difficulty
-2,13,random peril,The Infinite Revisions Wraith,Ensures thy draft is never ‘ready’ for submission.,0.5,1
-2,14,random peril,The Decision Paralysis Gargoyle 🤯,"Leaves thee staring at thy tea selection, unable to choose one before thy water grows cold.",0.5,1
-2,15,random peril,The Lecture Lich,"Drains the energy from a room, ensuring no one participates.",0.3,2
-2,16,random peril,The Treasurer’s Frown,Delays funding approvals with cryptic denials.,0.3,2
-2,17,random peril,The Midnight Muse,"Blesses thee with a genius ideaat 3 AM, at the cost of rest.",0.3,2
-2,18,random peril,The Citation Phantom,"Erases a critical reference from thy notes, causing a frantic search.",0.3,2
-2,19,random peril,The Vanishing Towel Phantom 🏴,The towel that was there is now no longer there.,0.3,2
-2,20,random peril,The Paperwork Mimic,"Transforms completed forms into outdated versions, requiring resubmission.",0.35,2
-2,21,random peril,The Shampoo Bottle Djinn 🚿,Ensures one necessary hygiene item is missing only after thou art already wet!,0.35,2
-2,22,random peril,The Blanket of Eternal Rest 🛌,Thou didst lie down… and now thou shalt not rise for many hours!,0.4,2
-2,23,random peril,The Endless Thread Curse,Causes a single email to generate infinite follow-ups.,0.4,2
-2,24,random peril,The Endless Thread Curse,Ensures no email chain ever truly ends.,0.4,2
-2,25,random peril,The Jargon Djinn,"Transforms thy words into an unreadable mess, requiring multiple revisions.",0.4,2
-2,25,random peril,The Sensory Overwhelm Wraith 🎭,"Ensures a loud noise, bright light, or strong smell derails thee from relaxation.",0.4,2
-2,27,random peril,The Unread Reviewer,"Dismisses thy work outright, with feedback that proves they never read it.",0.2,3
-2,28,random peril,The Unmovable Dean,"Rejects all requests for change, citing ‘tradition’ as law.",0.2,3
-2,29,random peril,The Grant Demon,"Inserts vague and contradictory feedback, leading to confusion and despair.",0.25,3
-2,30,random peril,The HR Hydra,"Requires an endless stream of forms, approvals, and training modules.",0.25,3
-2,31,random peril,The Plagiarism Poltergeist,"Haunts thee with false accusations, demanding thou prove thy innocence!",0.25,3
-2,32,random peril,The Elder Examiner’s Wrath,A grand and impossible question is delivered with a solemn gaze.,0.4,3
-1,1,Miniquest,The Wandering Mind Phantom,"Halfway through, thou dost forget what thou read!",0.4,1
-1,2,Miniquest,The Ink Goblin,Thine highlighter is missing or has dried up!,0.35,1
-1,3,Miniquest,The Jargon Djinn,Thou dost struggle to phrase it simply!,0.3,1
-1,4,Miniquest,The Notification Gremlin,"An alert, sound, or thought derails thee!",0.5,1
-1,5,Miniquest,The Perfectionist’s Shadow,"Thou dost hesitate, doubting the worth of the first word!",0.35,1
-1,6,Miniquest,The Sentence Loop Curse,Thou dost keep rewriting the same phrase!,0.4,1
-1,7,Miniquest,The Footnote Gremlin,A missing citation throws thee into chaos!,0.3,1
-1,8,Miniquest,The Document Demon,A required field makes no sense!,0.4,1
-1,9,Miniquest,The Scheduling Sphinx,The best time is already taken!,0.35,1
-1,30,Miniquest,The Tangent Djinn,Thou dost veer wildly off-topic!,0.35,1
-1,31,Miniquest,The Formatting Fiend,A slide layout refuses to align properly!,0.3,1
-1,32,Miniquest,The Deafening Silence of Disinterest,No student answers immediately!,0.25,1
-1,33,Miniquest,The Looping Sentence Curse,Thou dost rewrite the same idea five times!,0.35,1
-1,34,Miniquest,The Footnote Gremlin,A source is missing and must be found!,0.4,1
-1,35,Miniquest,The Data Goblin,"Numbers seem incorrect, requiring double-checking!",0.3,1
-1,36,Miniquest,The Vanishing Text Demon,A section disappears mysteriously!,0.25,1
-1,37,Miniquest,The Slide of Doom,A crucial figure refuses to align correctly!,0.4,1
-1,38,Miniquest,The Jargon Djinn,Thou dost struggle to phrase things simply!,0.35,1
-1,39,Miniquest,The Unanswerable Question,A practice query leaves thee speechless!,0.3,1
-1,40,Miniquest,The Wardrobe Malfunction Gremlin,A button or zipper fails!,0.25,1
-1,41,Miniquest,The Endless Wordsmithing Curse,Thou dost change it thrice and remain unsatisfied!,0.4,1
-1,42,Miniquest,The Condensation Struggle,The abstract refuses to fit the word limit!,0.35,1
-1,43,Miniquest,The Reference Style Wraith,The journal requires a citation format overhaul!,0.3,1
-1,44,Miniquest,The Server Error Demon,The submission system crashes just after pressing submit!,0.25,1
-1,45,Miniquest,The Illegible Ink Gremlin,Thou canst not decipher the student’s handwriting!,0.4,1
-1,46,Miniquest,The Over-Explanation Curse,Thy feedback grows longer than the student’s work!,0.35,1
-1,47,Miniquest,The Score Sheet Specter,A grading rubric is missing or inconsistent!,0.3,1
-1,48,Miniquest,The Endless Thread Curse,A single email spawns five follow-ups!,0.4,1
-1,49,Miniquest,The Cryptic Inquiry Gremlin,The student’s question makes no sense!,0.35,1
-1,50,Miniquest,The Student No-Show Curse,"None attend thy office hours, and time is lost!",0.3,1
-1,51,Miniquest,The Disappearing Student,A student on the roster has never been seen!,0.4,1
-1,52,Miniquest,"The Paperwork PhantomThe form format is incorrect, requiring resubmission!",,0.35,1
-1,53,Miniquest,The Scheduling SphinxThe ideal time slot is already taken!,,0.3,1
