skillId,domainId,domain,skillName,skillAbbrv,skillDesc,dd_equiv,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20
5,2,Collegiate,STAMINA,STA,"Enduring long study sessions, late-night cramming, and busy semesters.",Constitution,0,40,190,440,810,"1,290","1,900","2,640","3,490","4,480","5,590","6,840","8,220","9,730","11,370","13,160","15,080","17,130","19,330","21,660"
6,2,Collegiate,PERSEVERANCE,PRS,"Resilience against academic setbacks, exam failures, and stress.",Wisdom,0,40,190,440,810,"1,290","1,900","2,640","3,490","4,480","5,590","6,840","8,220","9,730","11,370","13,160","15,080","17,130","19,330","21,660"
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,Pedagogue,PEDAGOGY,PDG,"Knowledge of teaching methods, curriculum design, and educational theories.",Intelligence,0,50,235,550,"1,010","1,615","2,375","3,295","4,365","5,600","6,990","8,550","10,270","12,160","14,215","16,450","18,850","21,415","24,165","27,080"
2,3,Pedagogue,CLASSROOM COMMAND,CMC,"The ability to manage a class, engage students, and deliver compelling lessons.",Charisma,0,50,235,550,"1,010","1,615","2,375","3,295","4,365","5,600","6,990","8,550","10,270","12,160","14,215","16,450","18,850","21,415","24,165","27,080"
3,3,Pedagogue,LESSON CRAFTING,LCR,"Skill in preparing, adapting, and refining lesson plans.",Strength,0,50,235,550,"1,010","1,615","2,375","3,295","4,365","5,600","6,990","8,550","10,270","12,160","14,215","16,450","18,850","21,415","24,165","27,080"
4,3,Pedagogue,ORGANIZATION,ORG,"Tracking assessments, marking work, and maintaining a structured learning environment.",Dexterity,0,50,235,550,"1,010","1,615","2,375","3,295","4,365","5,600","6,990","8,550","10,270","12,160","14,215","16,450","18,850","21,415","24,165","27,080"
5,3,Pedagogue,STAMINA,STA,"The endurance to teach daily, plan lessons, and manage grading loads.",Constitution,0,50,235,550,"1,010","1,615","2,375","3,295","4,365","5,600","6,990","8,550","10,270","12,160","14,215","16,450","18,850","21,415","24,165","27,080"
6,3,Pedagogue,ADAPTABILITY,ADP,"The flexibility to modify plans, deal with disruptions, and pivot in response to challenges.",Wisdom,0,50,235,550,"1,010","1,615","2,375","3,295","4,365","5,600","6,990","8,550","10,270","12,160","14,215","16,450","18,850","21,415","24,165","27,080"
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Masters,SCHOLARSHIP,SCH,"Mastery of one’s research field, ability to synthesize knowledge, and theoretical depth.",Intelligence,0,60,280,660,"1,210","1,940","2,850","3,950","5,240","6,720","8,390","10,260","12,320","14,590","17,060","19,740","22,620","25,700","29,000","32,500"
2,4,Masters,RHETORIC,RHT,"Presenting, debating, and defending research to peers and faculty.",Charisma,0,60,280,660,"1,210","1,940","2,850","3,950","5,240","6,720","8,390","10,260","12,320","14,590","17,060","19,740","22,620","25,700","29,000","32,500"
3,4,Masters,ENDURANCE,END,"The stamina to write, edit, and revise an endless thesis.",Strength,0,60,280,660,"1,210","1,940","2,850","3,950","5,240","6,720","8,390","10,260","12,320","14,590","17,060","19,740","22,620","25,700","29,000","32,500"
4,4,Masters,ORGANIZATION,ORG,"Managing research notes, deadlines, and administrative duties.",Dexterity,0,60,280,660,"1,210","1,940","2,850","3,950","5,240","6,720","8,390","10,260","12,320","14,590","17,060","19,740","22,620","25,700","29,000","32,500"
5,4,Masters,STAMINA,STA,"Surviving long nights of writing, conference preparation, and stress.",Constitution,0,60,280,660,"1,210","1,940","2,850","3,950","5,240","6,720","8,390","10,260","12,320","14,590","17,060","19,740","22,620","25,700","29,000","32,500"
6,4,Masters,RESILIENCE,RES,"Withstanding peer review, setbacks, and the terror of Reviewer #2.",Wisdom,0,60,280,660,"1,210","1,940","2,850","3,950","5,240","6,720","8,390","10,260","12,320","14,590","17,060","19,740","22,620","25,700","29,000","32,500"
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,Doctoral,SCHOLARSHIP,SCH,"Mastery of research methodology, original contributions to knowledge, and field expertise.",Intelligence,0,90,380,880,"1,620","2,590","3,810","5,270","6,990","8,960","11,190","13,680","16,440","19,460","22,750","26,320","30,160","34,270","38,670","43,340"
2,5,Doctoral,RHETORIC,RHT,"The ability to present, debate, and defend research before a panel of experts.",Charisma,0,90,380,880,"1,620","2,590","3,810","5,270","6,990","8,960","11,190","13,680","16,440","19,460","22,750","26,320","30,160","34,270","38,670","43,340"
3,5,Doctoral,ENDURANCE,END,The mental and physical stamina to withstand years of research and revisions.,Strength,0,90,380,880,"1,620","2,590","3,810","5,270","6,990","8,960","11,190","13,680","16,440","19,460","22,750","26,320","30,160","34,270","38,670","43,340"
4,5,Doctoral,ORGANIZATION,ORG,"Managing extensive notes, datasets, deadlines, and bureaucratic hurdles.",Dexterity,0,90,380,880,"1,620","2,590","3,810","5,270","6,990","8,960","11,190","13,680","16,440","19,460","22,750","26,320","30,160","34,270","38,670","43,340"
5,5,Doctoral,STAMINA,STA,"Surviving stress, conference travel, grant applications, and the endless waiting game.",Constitution,0,90,380,880,"1,620","2,590","3,810","5,270","6,990","8,960","11,190","13,680","16,440","19,460","22,750","26,320","30,160","34,270","38,670","43,340"
6,5,Doctoral,RESILIENCE,RES,"Withstanding peer review, funding rejections, and existential crises.",Wisdom,0,90,380,880,"1,620","2,590","3,810","5,270","6,990","8,960","11,190","13,680","16,440","19,460","22,750","26,320","30,160","34,270","38,670","43,340"
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,Sage,SCHOLARSHIP,SCH,"Mastery of one’s field, the depth of research, and publication record.",Intelligence,0,110,470,"1,100","2,020","3,240","4,760","6,590","8,730","11,200","13,980","17,100","20,540","24,320","28,440","32,900","37,690","42,840","48,330","54,170"
2,6,Sage,RHETORIC,RHT,"Command of speech, persuasion in funding proposals, and conference delivery.",Charisma,0,110,470,"1,100","2,020","3,240","4,760","6,590","8,730","11,200","13,980","17,100","20,540","24,320","28,440","32,900","37,690","42,840","48,330","54,170"
3,6,Sage,ENDURANCE,END,"Stamina for long research hours, grading marathons, and tenure-track survival.",Strength,0,110,470,"1,100","2,020","3,240","4,760","6,590","8,730","11,200","13,980","17,100","20,540","24,320","28,440","32,900","37,690","42,840","48,330","54,170"
4,6,Sage,ADMINISTRATION,ADM,"Mastery of bureaucratic tasks, committee duties, and institutional navigation.",Dexterity,0,110,470,"1,100","2,020","3,240","4,760","6,590","8,730","11,200","13,980","17,100","20,540","24,320","28,440","32,900","37,690","42,840","48,330","54,170"
5,6,Sage,STAMINA,STA,"Resilience against burnout, ability to balance research, teaching, and service.",Constitution,0,110,470,"1,100","2,020","3,240","4,760","6,590","8,730","11,200","13,980","17,100","20,540","24,320","28,440","32,900","37,690","42,840","48,330","54,170"
6,6,Sage,INFLUENCE,INF,"Political acumen, networking, and power within the institution.",Wisdom,0,110,470,"1,100","2,020","3,240","4,760","6,590","8,730","11,200","13,980","17,100","20,540","24,320","28,440","32,900","37,690","42,840","48,330","54,170"
