id,domainId,questArea,areaDesc,name,description,profession,professionId,professionXp,skill1,skill2,skill3,skill4,skill5,skill6,beastiary,relic,coins,waitTime
27,2,"Lair of Self—Care","Where Scholars Refresh and Restore","Potion Brewing","Prepare a meal instead of instant ramen or takeout",Healer,3,25,0,0,20,10,0,10,randomPeril,,10,0
28,2,"Lair of Self—Care","Where Scholars Refresh and Restore","Grand Pilgrimage Outdoors","Take a walk to escape the dormitory",Healer,3,30,0,0,10,0,20,10,randomPeril,,5,0
29,2,"The Hall of Marvels","Where Knowledge is Sought","Grand Capstone Trial","Complete a major project or thesis",Artisan,1,200,0,0,10,10,0,20,Collegiate4,Collegiate2,50,0
30,2,"The Hall of Marvels","Where Knowledge is Sought","Graduate’s Ordeal","Finish all required courses",Artisan,1,500,10,0,0,0,20,10,randomPeril,Collegiate4,100,0
31,2,"The Hall of Marvels","Where Knowledge is Sought","Ceremony of Honor","Attend convocation",Artisan,1,100,0,20,0,0,10,10,randomPeril,Collegiate4,25,0
32,3,"The Vault of Vellum","Where Knowledge is Applied","Scholar’s Vigil","Attend a full week of lectures",Artisan,1,50,0,0,0,10,20,0,Pedagogue1,Pedagogue3,10,0
33,3,"The Hall of Marvels","Where Knowledge is Sought","Scrolls of Knowledge","Analyze and outline the pedagogical principles in a textbook chapter",Artisan,1,30,10,0,0,20,0,0,randomPeril,,5,0
34,3,"The Vault of Vellum","Where Knowledge is Applied","Scribe’s Ordeal","Complete a 1000+ word essay",Artisan,1,100,0,0,0,20,10,10,Pedagogue4,Pedagogue2,20,0
35,3,"The Vault of Vellum","Where Knowledge is Applied","Curriculum Weaver's Map","Complete a lesson plan that links to the curriculum",Artisan,1,100,10,0,20,0,0,10,Pedagogue4,Pedagogue2,20,0
36,3,"The Hall of Marvels","Where Knowledge is Sought","Midnight Study Ritual","Study for 3+ hours in one session",Artisan,1,50,0,0,0,10,20,0,randomPeril,,10,0
37,3,"The Chamber of Oration","Where Scholars Meet to Debate","Seminar of Questions","Participate in class discussion",Soldier,2,25,0,20,0,10,0,10,Pedagogue1,Pedagogue3,5,0
38,3,"The Chamber of Oration","Where Scholars Meet to Debate","Reluctant Orator’s Trial","Give a presentation",Soldier,2,100,0,20,0,10,0,0,Pedagogue2,,25,0
39,3,"The Chamber of Oration","Where Scholars Meet to Debate","Alliance of Scholars","Complete a group project without despair",Soldier,2,75,0,0,0,20,10,10,Pedagogue2,,15,0
40,3,"The Chamber of Oration","Where Scholars Meet to Debate","Miniature Mentor's Plight","Teach a mini-lesson or small group lesson",Soldier,2,50,10,20,10,0,0,0,randomPeril,,5,0
41,3,"The Chamber of Oration","Where Scholars Meet to Debate","Classroom Conductor","Teach a full class lesson",Soldier,2,100,10,20,10,0,0,0,Pedagogue2,,25,0
42,3,"The Tribunal of Forms","Where Academics Meet to be Judged","Dreaded Unit Plan","Develop a unit plan that integrates lessons across several days or weeks",Soldier,2,150,20,0,10,10,0,0,Pedagogue3,Pedagogue1,30,0
43,3,"The Tribunal of Forms","Where Academics Meet to be Judged","Culminating Task","Complete a major culminating task or presentation",Soldier,2,300,0,0,0,20,10,10,Pedagogue3,Pedagogue1,75,0
44,3,"The Tribunal of Forms","Where Academics Meet to be Judged","Arcane Bonus Question","Answer an unexpected question correctly",Soldier,2,50,0,0,0,10,0,20,randomPeril,,10,0
45,3,"Lair of Self—Care","Where Scholars Refresh and Restore","Weary Scholar's Revival","Sleep 7+ hours",Healer,3,50,0,0,0,0,20,10,Pedagogue3,Pedagogue1,30,0
46,3,"Lair of Self—Care","Where Scholars Refresh and Restore","Potion Brewing","Prepare a meal instead of instant ramen or takeout",Healer,3,25,0,0,0,20,0,10,Pedagogue3,Pedagogue1,75,0
47,3,"Lair of Self—Care","Where Scholars Refresh and Restore","Grand Pilgrimage Outdoors","Take a walk to escape the humble hovel",Healer,3,30,0,0,0,0,20,10,randomPeril,,10,0
48,3,"Lair of Self—Care","Where Scholars Refresh and Restore","Journey to the Guild of Pedagogues","Visit the staff lounge to interact with other educators",Healer,3,30,10,0,0,0,20,10,randomPeril,,10,0
49,3,"The Hall of Marvels","Where Knowledge is Sought","Teacher's Trial","Complete a teaching placement",Artisan,1,200,20,10,10,0,0,0,Pedagogue4,Pedagogue2,50,0
50,3,"The Hall of Marvels","Where Knowledge is Sought","Graduate’s Ordeal","Finish all required courses",Artisan,1,500,10,0,0,10,20,0,randomPeril,Pedagogue4,100,0
51,3,"The Hall of Marvels","Where Knowledge is Sought","Ceremony of Honor","Attend convocation",Artisan,1,100,0,0,0,10,20,10,randomPeril,Pedagogue4,25,0
52,4,"Vault of Vellum","Where Knowledge is Applied","Literature Review Labyrinth","Read & analyze 3+ academic sources",Artisan,1,50,20,0,0,10,0,10,randomPeril,,10,0
53,4,"Vault of Vellum","Where Knowledge is Applied","Tame the Hydra of Sources","Organize citations & refine bibliography",Artisan,1,75,10,0,0,20,0,10,Masters2,Masters1,15,0
54,4,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Arcane Manuscript","Write 1,000+ words of the thesis",Artisan,1,100,20,0,10,10,0,0,Masters2,Masters1,25,0
55,4,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Revisions Gauntlet","Edit and refine a full draft",Artisan,1,150,10,0,0,20,0,10,Masters3,Masters3,40,0
56,4,"The Chamber of Oration","Where Scholars Meet to Debate","Departmental Colloquium","Present research at a seminar",Soldier,2,100,10,20,0,0,10,0,Masters1,Masters2,20,0
57,4,"The Chamber of Oration","Where Scholars Meet to Debate","Grand Symposium","Deliver a conference talk or poster",Soldier,2,150,10,20,0,0,10,0,Masters4,,30,0
58,4,"The Hall of Marvels","Where Knowledge is Sought","Thesis Committee Conclave","Meet with the advisory committee",Soldier,2,75,10,20,0,0,0,10,Masters1,,15,0
59,4,"The Tribunal of Forms","Where Academics Meet to be Judged","Fellowship Gambit","Apply for a research grant or scholarship",Soldier,2,100,10,10,0,20,0,0,Masters4,Masters2,25,0
60,4,"The Tribunal of Forms","Where Academics Meet to be Judged","Graduate Paperwork Trials","Complete degree progress reports & approvals",Soldier,2,50,0,0,10,20,0,10,randomPeril,,10,0
61,4,"The Tribunal of Forms","Where Academics Meet to be Judged","Graduate Assistant’s Burden","Grade student work, host tutorials",Soldier,2,75,20,10,0,0,0,10,randomPeril,,15,0
62,4,"Lair of Self—Care","Where Scholars Refresh and Restore","Scholar’s Reprieve","Sleep 7+ hours",Healer,3,50,0,0,10,0,20,10,randomPeril,,10,0
63,4,"Lair of Self—Care","Where Scholars Refresh and Restore","Nourishment Ritual","Cook a proper meal instead of surviving on instant noodles",Healer,3,25,0,0,10,0,20,10,randomPeril,,10,0
64,4,"Lair of Self—Care","Where Scholars Refresh and Restore","Pilgrimage of Sanity","Take a walk to escape the thesis chamber",Healer,3,30,0,0,10,0,20,10,randomPeril,,5,0
65,4,"The Hall of Marvels","Where Knowledge is Sought","Forge the Thesis of Ages","Submit the final draft",Artisan,1,200,0,0,20,10,0,10,Masters3,Masters3,50,0
66,4,"The Hall of Marvels","Where Knowledge is Sought","Ordeal of the Defense","Survive the thesis defense",Artisan,1,500,10,20,0,0,0,10,randomPeril,Masters4,100,0
67,4,"The Hall of Marvels","Where Knowledge is Sought","Hooding Ceremony","Graduate with a Master’s Degree",Artisan,1,300,0,0,10,10,0,20,randomPeril,Masters4,75,0
68,5,"The Vault of Vellum","Where Knowledge is Applied","Endless Literature Review","Read & analyze 5+ academic sources",Artisan,1,75,20,0,10,0,0,10,randomPeril,Doctoral1,15,0
69,5,"The Vault of Vellum","Where Knowledge is Applied","Tame the Hydra of Sources","Organize a multi-chapter bibliography",Artisan,1,100,10,0,0,20,0,10,randomPeril,Doctoral1,25,0
70,5,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Manuscript of Madness","Write 2,000+ words of the dissertation",Artisan,1,150,20,0,10,10,0,0,randomPeril,,30,0
71,5,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Abyss of Revisions","Rewrite a full chapter based on committee feedback",Artisan,1,200,10,0,0,10,0,20,Doctoral3,Doctoral2,50,0
72,5,"The Chamber of Oration","Where Scholars Meet to Debate","Great Colloquium","Present at a departmental seminar",Soldier,2,100,10,20,0,0,10,0,Doctoral1,Doctoral3,20,0
73,5,"The Chamber of Oration","Where Scholars Meet to Debate","Academic Crusade","Deliver a conference paper",Soldier,2,200,10,20,10,0,0,0,Doctoral1,Doctoral3,40,0
74,5,"The Hall of Marvels","Where Knowledge is Sought","Publish or Perish","Submit a journal article",Soldier,2,300,20,10,0,10,0,0,Doctoral1,,75,0
75,5,"The Tribunal of Forms","Where Academics Meet to be Judged","Grant Gamble","Apply for major research funding",Soldier,2,150,0,10,0,20,0,10,Doctoral4,,30,0
76,5,"The Tribunal of Forms","Where Academics Meet to be Judged","Committee Conundrum","Meet with dissertation advisors",Soldier,2,100,10,20,0,0,0,10,Doctoral2,,25,0
77,5,"The Tribunal of Forms","Where Academics Meet to be Judged","Teaching Apprentice","Teach an undergraduate class",Soldier,2,150,10,20,10,0,0,0,Doctoral3,,30,0
78,5,"Lair of Self—Care","Where Scholars Refresh and Restore","Sleep of the Weary Scholar","Sleep 7+ hours",Healer,3,50,0,0,10,0,20,10,randomPeril,,10,0
79,5,"Lair of Self—Care","Where Scholars Refresh and Restore","Nourishment Ritual","Eat a meal that is not instant ramen",Healer,3,25,0,0,0,10,20,10,randomPeril,,10,0
80,5,"Lair of Self—Care","Where Scholars Refresh and Restore","Walk of Desperation","Step outside the library",Healer,3,30,0,0,10,0,20,10,randomPeril,,5,0
81,5,"The Hall of Marvels","Where Knowledge is Sought","Forge the Dissertation of Ages","Submit the final draft",Artisan,1,300,0,0,20,10,0,10,Doctoral2,Doctoral2,75,0
82,5,"The Hall of Marvels","Where Knowledge is Sought","Ordeal of the Defense","Survive the dissertation defense",Artisan,1,500,10,20,0,0,0,10,randomPeril,Doctoral4,100,0
83,5,"The Hall of Marvels","Where Knowledge is Sought","Doctoral Convocation","Graduate and claim the title of Doctor",Artisan,1,300,10,0,10,0,0,20,randomPeril,Doctoral4,75,0
84,6,"The Vault of Vellum","Where Knowledge is Applied","Chart the Unknown","Conduct new research, collect data, or draft a new study",Artisan,1,100,20,0,10,0,10,0,Sage3,Sage1,25,0
85,6,"The Vault of Vellum","Where Knowledge is Applied","Tame the Hydra of Sources","Complete a literature review or meta-analysis",Artisan,1,150,20,0,10,10,0,0,randomPeril,,40,0
86,6,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Publish or Perish","Submit an article to a high-impact journal",Artisan,1,300,20,10,0,10,0,0,Sage1,Sage2,75,0
87,6,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Secure the Philosopher’s Patronage","Win a major research grant",Artisan,1,500,10,10,0,20,0,0,Sage4,Sage1,100,0
88,6,"The Chamber of Oration","Where Scholars Meet to Debate","Grand Symposium","Deliver a conference presentation",Soldier,2,150,10,20,0,0,0,10,randomPeril,,30,0
89,6,"The Chamber of Oration","Where Scholars Meet to Debate","Seminar of Endless Questions","Lead a graduate seminar",Soldier,2,200,20,10,0,0,0,10,randomPeril,,40,0
90,6,"The Chamber of Oration","Where Scholars Meet to Debate","Grading the Infinite Scrolls","Grade 30+ essays, theses, or dissertations",Soldier,2,150,10,0,20,0,10,0,randomPeril,,30,0
91,6,"The Chamber of Oration","Where Scholars Meet to Debate","Advisor’s Ordeal","Supervise a graduate student project",Soldier,2,250,10,10,0,0,0,20,randomPeril,,50,0
92,6,"The Tribunal of Forms","Where Academics Meet to be Judged","Summon the Council of Elders","Chair a faculty committee",Soldier,2,150,0,10,0,20,0,10,Sage2,Sage3,30,0
93,6,"The Tribunal of Forms","Where Academics Meet to be Judged","Defend the Ivory Tower","Serve as external reviewer or thesis examiner",Soldier,2,100,20,0,10,10,0,0,randomPeril,,25,0
94,6,"The Tribunal of Forms","Where Academics Meet to be Judged","Endless Accreditation War","Complete institutional reviews and reports",Soldier,2,200,10,0,10,20,0,0,Sage2,,40,0
95,6,"Lair of Self—Care","Where Scholars Refresh and Restore","Sabbatical Ritual","Take a research leave or sabbatical",Healer,3,300,0,0,10,0,20,10,randomPeril,,50,0
96,6,"Lair of Self—Care","Where Scholars Refresh and Restore","Brew the Elixir of Sanity","Take a full weekend away from academic work",Healer,3,75,0,0,10,10,20,0,randomPeril,,10,0
97,6,"Lair of Self—Care","Where Scholars Refresh and Restore","Pilgrimage to Forgotten Realms","Attend a retreat or workshop",Healer,3,100,10,0,0,0,10,20,randomPeril,,20,0
98,6,"The Hall of Marvels","Where Knowledge is Sought","Trial of Tenure","Survive tenure review",Artisan,1,500,0,0,20,10,0,10,Sage3,Sage4,100,0
99,6,"The Hall of Marvels","Where Knowledge is Sought","Grand Manuscript","Publish a scholarly book",Artisan,1,400,20,10,10,0,0,0,Sage1,Sage2,75,0
100,6,"The Hall of Marvels","Where Knowledge is Sought","Ascension to Administration","Become a Department Chair, Dean, or Provost",Artisan,1,500,0,0,0,20,10,10,Sage3,Sage3,100,0
101,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Goblet of Hydration","Drink a full glass of water!",Healer,3,10,0,0,0,0,0,0,,healerRnd,5,0
102,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Feast of Small Victories","Eat at least one proper meal!",Healer,3,20,0,0,0,0,0,0,,healerRnd,10,0
103,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Potion Brewer's Trial","Make a cup of coffee, tea, or favourite beverage!",Healer,3,15,0,0,0,0,0,0,,healerRnd,5,0
104,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Stance of the Mindful Stretch","Stretch for at least 2 minutes!",Healer,3,15,0,0,0,0,0,0,,healerRnd,5,120
105,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Sprint of the Squirrel Knight","Engage in 5 minutes of movement!",Healer,3,15,0,0,0,0,0,0,,healerRnd,5,300
106,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Window of the World Beyond","Look outside, name three things thou dost see",Healer,3,10,0,0,0,0,0,0,,healerRnd,5,0
107,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Summoning of Fresh Air","Step outside for 2 minutes!",Healer,3,15,0,0,0,0,0,0,,healerRnd,5,120
108,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Grand Pilgrimage Outdoors","Take a walk, however short!",Healer,3,30,0,0,0,0,0,0,,healerRnd,10,0
109,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Illumination of the Study Keep","Adjust thy lighting to fit thy focus!",Healer,3,10,0,0,0,0,0,0,,healerRnd,5,0
110,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Soundtrack of Champions","Play a focus-boosting or mood-lifting tune!",Healer,3,10,0,0,0,0,0,0,,healerRnd,5,0
111,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Shield of the Sleepy Squirrel","Lie down, even if sleep evades thee!",Healer,3,20,0,0,0,0,0,0,,healerRnd,10,0
112,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Dimming of the Screens","Reduce blue light exposure before sleep!",Healer,3,15,0,0,0,0,0,0,,healerRnd,5,0
113,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Cozy Cocoon Ritual","Adjust blankets, pillows, and comfort to maximize relaxation!",Healer,3,15,0,0,0,0,0,0,,healerRnd,5,0
114,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Book of Gentle Escape","Read or listen to something soothing before sleep!",Healer,3,15,0,0,0,0,0,0,,healerRnd,5,0
115,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Whispered Gratitudes","List three small victories of the day!",Healer,3,10,0,0,0,0,0,0,,healerRnd,5,0
116,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Rule of Three Objects","Put away or clean three small things!",Healer,3,15,0,0,0,0,0,0,,healerRnd,5,0
117,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Time Traveler's Sprint","Set a 5-minute timer and tidy as much as thou can!",Healer,3,20,0,0,0,0,0,0,,healerRnd,10,300
118,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Organizational Arcane Sigil","Label or categorize one small area!",Healer,3,15,0,0,0,0,0,0,,healerRnd,5,0
119,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Minimalistâ€™s Trial","Declutter one item, donate or discard!",Healer,3,15,0,0,0,0,0,0,,healerRnd,5,0
120,0,"Lair of Self—Care","Where Scholars Refresh and Restore","Desk of Academic Might","Clear thy workspace before beginning studies!",Healer,3,20,0,0,0,0,0,0,,healerRnd,10,0
121,0,"The Vault of Vellum","Where Knowledge is Applied","Tome Unfurled","Read 1 paragraph of an academic text!",Artisan,1,10,0,0,0,0,0,0,miniquest1,miniquest1,5,0
122,0,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Annotation of Arcane Knowledge","Highlight or annotate 3 key points!",Artisan,1,15,0,0,0,0,0,0,miniquest2,miniquest2,5,0
123,0,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Scroll of Summarization","Write a 1-sentence summary!",Artisan,1,20,0,0,0,0,0,0,miniquest3,miniquest3,10,0
124,0,"Vault of Vellum","Where Knowledge is Applied","Scholar's Sprint","Study with focus for 5 minutes!",Artisan,1,15,0,0,0,0,0,0,miniquest4,miniquest4,5,300
125,0,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","First Word Ritual","Write literally any word to begin!",Artisan,1,10,0,0,0,0,0,0,miniquest5,miniquest5,5,0
126,0,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Typing Tempest","Write for 3 uninterrupted minutes!",Artisan,1,20,0,0,0,0,0,0,miniquest6,miniquest6,10,180
127,0,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Formatting Enchantment","Fix 1 citation, heading, or structure!",Artisan,1,15,0,0,0,0,0,0,miniquest7,miniquest7,5,0
128,0,"Tribunal of Forms","Where Academics Meet to be Judged","Form of Minimal Doom","Complete one small section of paperwork!",Soldier,2,15,0,0,0,0,0,0,miniquest8,miniquest8,5,0
129,0,"Tribunal of Forms","Where Academics Meet to be Judged","Calendar Conundrum","Schedule one task, meeting, or deadline!",Soldier,2,15,0,0,0,0,0,0,miniquest9,miniquest9,5,0
130,0,"Chamber of Oration","Where Scholars Meet to Debate","Verbal Summoning","Practice explaining a concept aloud, even if none listen!",Soldier,2,15,0,0,0,0,0,0,miniquest10,miniquest10,5,0
131,0,"Chamber of Oration","Where Scholars Meet to Debate","Ritual of Class Preparation","Draft one discussion question or slide!",Soldier,2,20,0,0,0,0,0,0,miniquest11,miniquest11,10,0
132,0,"Chamber of Oration","Where Scholars Meet to Debate","Grand Seminar of Engagement","Pose a discussion question in class or online!",Soldier,2,25,0,0,0,0,0,0,miniquest12,miniquest12,10,0
133,4,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Final Scroll Begins","Write 1 sentence of the conclusion chapter!",Soldier,2,10,0,0,0,0,0,0,miniquest13,miniquest13,5,0
134,4,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Ultimate Citation Challenge","Check & format one reference!",Soldier,2,15,0,0,0,0,0,0,miniquest14,miniquest14,5,0
135,4,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Final Data Reckoning","Analyze one result or edit a table!",Soldier,2,20,0,0,0,0,0,0,miniquest15,miniquest15,10,0
136,4,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Last Crusade Against Formatting","Fix one style, heading, or spacing issue!",Soldier,2,15,0,0,0,0,0,0,miniquest16,miniquest16,5,0
137,4,"Chamber of Oration","Where Scholars Meet to Debate","PowerPoint Pilgrimage","Make or edit one slide!",Soldier,2,15,0,0,0,0,0,0,miniquest17,miniquest17,5,0
138,4,"Chamber of Oration","Where Scholars Meet to Debate","Summoning of the Oral Script","Write & practice one minute of thy speech!",Soldier,2,20,0,0,0,0,0,0,miniquest18,miniquest18,10,60
139,4,"Chamber of Oration","Where Scholars Meet to Debate","Trial of the Mock Defense","Practice one question with a friend or mirror!",Soldier,2,25,0,0,0,0,0,0,miniquest19,miniquest19,10,0
140,4,"Chamber of Oration","Where Scholars Meet to Debate","Sacred Robing Ritual","Choose attire for the defense & feel powerful!",Soldier,2,10,0,0,0,0,0,0,miniquest20,miniquest20,5,0
141,4,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Title of a Thousand Revisions","Revise or finalize the title!",Soldier,2,15,0,0,0,0,0,0,miniquest21,miniquest21,5,0
142,4,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Abstract Abyss","Edit one sentence of the abstract!",Soldier,2,20,0,0,0,0,0,0,miniquest22,miniquest22,10,0
143,4,"Scribe's Tower","Where Knowledge is Written into Scholarly Form","Journal Alignment Conundrum","Check submission guidelines & adjust formatting!",Soldier,2,15,0,0,0,0,0,0,miniquest23,miniquest23,5,0
144,4,"Hall of Marvels","Where Knowledge is Sought","Final Button of Fate","Press submit and send the manuscript into the void!",Soldier,2,25,0,0,0,0,0,0,miniquest24,miniquest24,10,0
145,3,"Hall of Marvels","Where Knowledge is Sought","Single Scroll of Judgment","Grade a single response, essay, or quiz question!",Soldier,2,10,0,0,0,0,0,0,miniquest25,miniquest25,5,0
146,3,"Hall of Marvels","Where Knowledge is Sought","Constructive Rune","Write one meaningful comment on a studentâ€™s work!",Soldier,2,15,0,0,0,0,0,0,miniquest26,miniquest26,5,0
147,3,"Hall of Marvels","Where Knowledge is Sought","Swift Assessment Sprint","Grade for 5 uninterrupted minutes!",Soldier,2,20,0,0,0,0,0,0,miniquest27,miniquest27,10,300
148,3,"Hall of Marvels","Where Knowledge is Sought","Summoning of the Inbox","Open and skim unread emails without responding!",Soldier,2,10,0,0,0,0,0,0,miniquest28,miniquest28,5,0
149,3,"Hall of Marvels","Where Knowledge is Sought","Single Scroll of Response","Reply to one student email!",Soldier,2,15,0,0,0,0,0,0,miniquest29,miniquest29,5,0
150,3,"Hall of Marvels","Where Knowledge is Sought","Office Hour Invocation","Spend 10 minutes responding to student questions!",Soldier,2,20,0,0,0,0,0,0,miniquest30,miniquest30,10,600
151,6,"Hall of Marvels","Where Knowledge is Sought","Roster of the Forgotten","Check or update attendance records!",Soldier,2,10,0,0,0,0,0,0,miniquest31,miniquest31,5,0
152,6,"Hall of Marvels","Where Knowledge is Sought","Form of Institutional Doom","Submit one administrative form!",Soldier,2,15,0,0,0,0,0,0,miniquest32,miniquest32,5,0
153,6,"Hall of Marvels","Where Knowledge is Sought","Calendar of Despair","Schedule a class, meeting, or deadline!",Soldier,2,15,0,0,0,0,0,0,miniquest33,miniquest33,5,0
