id,chance,entity,entityEffect,difficulty,iconURL
randomPeril,0.5,"Disappearing Student","Signs up for thy class, submits no work, and ghosts entirely.",1,
randomPeril,0.5,"Goblin of Perpetual Fatigue 💤","Whispers sweet nothings of “Thou art too weary to engage in self-care today…”",1,
randomPeril,0.5,"Sleepless Wraith","Haunts thee with restlessness, ensuring no sleep before a deadline.",1,
randomPeril,0.5,"Forgotten Meal Specter","Ensures thy stomach growls but thy hands remain too busy to eat.",1,
randomPeril,0.5,"Pigeon of Peril","Strikes unsuspecting scholars from above, bringing momentary humiliation.",1,
randomPeril,0.5,"Infinite Scroll Wraith 📱","Ensnares the scholar in an endless loop of doomscrolling instead of self-care!",1,
randomPeril,0.5,"Horde of Emails","A single email begets twenty more, none with clear purpose.",1,
randomPeril,0.5,"Infinite Revisions Wraith","Ensures thy draft is never ‘ready’ for submission.",1,
randomPeril,0.5,"Decision Paralysis Gargoyle 🤯","Leaves thee staring at thy tea selection, unable to choose one before thy water grows cold.",1,
randomPeril,0.3,"Lecture Lich","Drains the energy from a room, ensuring no one participates.",2,
randomPeril,0.3,"Treasurer’s Frown","Delays funding approvals with cryptic denials.",2,
randomPeril,0.3,"Midnight Muse","Blesses thee with a genius ideaat 3 AM, at the cost of rest.",2,
randomPeril,0.3,"Citation Phantom","Erases a critical reference from thy notes, causing a frantic search.",2,
randomPeril,0.3,"Vanishing Towel Phantom 🏴","The towel that was there is now no longer there.",2,
randomPeril,0.35,"Paperwork Mimic","Transforms completed forms into outdated versions, requiring resubmission.",2,
randomPeril,0.35,"Shampoo Bottle Djinn 🚿","Ensures one necessary hygiene item is missing only after thou art already wet!",2,
randomPeril,0.4,"Blanket of Eternal Rest 🛌","Thou didst lie down… and now thou shalt not rise for many hours!",2,
randomPeril,0.4,"Endless Thread Curse","Causes a single email to generate infinite follow-ups.",2,
randomPeril,0.4,"Endless Thread Curse","Ensures no email chain ever truly ends.",2,
randomPeril,0.4,"Jargon Djinn","Transforms thy words into an unreadable mess, requiring multiple revisions.",2,
randomPeril,0.4,"Sensory Overwhelm Wraith 🎭","Ensures a loud noise, bright light, or strong smell derails thee from relaxation.",2,
randomPeril,0.2,"Unread Reviewer","Dismisses thy work outright, with feedback that proves they never read it.",3,
randomPeril,0.2,"Unmovable Dean","Rejects all requests for change, citing ‘tradition’ as law.",3,
randomPeril,0.25,"Grant Demon","Inserts vague and contradictory feedback, leading to confusion and despair.",3,
randomPeril,0.25,"HR Hydra","Requires an endless stream of forms, approvals, and training modules.",3,
randomPeril,0.25,"Plagiarism Poltergeist","Haunts thee with false accusations, demanding thou prove thy innocence!",3,
randomPeril,0.2,"Elder Examiner’s Wrath","A grand and impossible question is delivered with a solemn gaze.",3,
miniquest1,0.2,"Wandering Mind Phantom","Halfway through, thou dost forget what thou read!",1,
miniquest2,0.35,"Ink Goblin","Thine highlighter is missing or has dried up!",1,
miniquest3,0.3,"Jargon Djinn","Thou dost struggle to phrase it simply!",1,
miniquest4,0.5,"Notification Gremlin","An alert, sound, or thought derails thee!",1,
miniquest5,0.35,"Perfectionistâ€™s Shadow","Thou dost hesitate, doubting the worth of the first word!",1,
miniquest6,0.4,"Sentence Loop Curse","Thou dost keep rewriting the same phrase!",1,
miniquest7,0.3,"Footnote Gremlin","A missing citation throws thee into chaos!",1,
miniquest8,0.4,"Document Demon","A required field makes no sense!",1,
miniquest9,0.35,"Scheduling Sphinx","The best time is already taken!",1,
miniquest10,0.35,"Tangent Djinn","Thou dost veer wildly off-topic!",1,
miniquest11,0.3,"Formatting Fiend","A slide layout refuses to align properly!",1,
miniquest12,0.25,"Deafening Silence of Disinterest","No student answers immediately!",1,
miniquest13,0.35,"Looping Sentence Curse","Thou dost rewrite the same idea five times!",1,
miniquest14,0.4,"Footnote Gremlin","A source is missing and must be found!",1,
miniquest15,0.3,"Data Goblin","Numbers seem incorrect, requiring double-checking!",1,
miniquest16,0.25,"Vanishing Text Demon","A section disappears mysteriously!",1,
miniquest17,0.4,"Slide of Doom","A crucial figure refuses to align correctly!",1,
miniquest18,0.35,"Jargon Djinn","Thou dost struggle to phrase things simply!",1,
miniquest19,0.3,"Unanswerable Question","A practice query leaves thee speechless!",1,
miniquest20,0.25,"Wardrobe Malfunction Gremlin","A button or zipper fails!",1,
miniquest21,0.4,"Endless Wordsmithing Curse","Thou dost change it thrice and remain unsatisfied!",1,
miniquest22,0.35,"Condensation Struggle","The abstract refuses to fit the word limit!",1,
miniquest23,0.35,"Reference Style Wraith","The journal requires a citation format overhaul!",1,
miniquest24,0.25,"Server Error Demon","The submission system crashes just after pressing submit!",1,
miniquest25,0.4,"Illegible Ink Gremlin","Thou canst not decipher the studentâ€™s handwriting!",1,
miniquest26,0.35,"Over-Explanation Curse","Thy feedback grows longer than the studentâ€™s work!",1,
miniquest27,0.3,"Score Sheet Specter","A grading rubric is missing or inconsistent!",1,
miniquest28,0.4,"Endless Thread Curse","A single email spawns five follow-ups!",1,
miniquest29,0.35,"Cryptic Inquiry Gremlin","The studentâ€™s question makes no sense!",1,
miniquest30,0.3,"Student No-Show Curse","None attend thy office hours, and time is lost!",1,
miniquest31,0.4,"Disappearing Student","A student on the roster has never been seen!",1,
miniquest32,0.35,"Paperwork Phantom","The form format is incorrect, requiring resubmission!",1,
miniquest33,0.3,"Scheduling Sphinx","The ideal time slot is already taken!",1,
