id,domainId,questArea,name,description,profession,professionId,professionXp,perilChance,entity,entityEffect,difficulty,relicChance,scholarship,relicEffect,coins,areaDesc,waitTime
39,4,"Chamber of Oration","Summoning of the Oral Script","Write & practice one minute of thy speech!",Soldier,2,20,0.35,"Jargon Djinn","Thou dost struggle to phrase things simply!",1,0.5,"Golden Tongue Talisman","Thy next spoken answer shall be flawless, a golden truth for all to hear.",10,"Where Scholars Meet to Debate",60
40,4,"Chamber of Oration","Trial of the Mock Defense","Practice one question with a friend or mirror!",Soldier,2,25,0.3,"Unanswerable Question","A practice query leaves thee speechless!",1,0.5,"Scholar’s Oratorical Gift","Thy next Q&A shall be a display of quick wit and profound knowledge.",10,"Where Scholars Meet to Debate",0
41,4,"Chamber of Oration","Sacred Robing Ritual","Choose attire for the defense & feel powerful!",Soldier,2,10,0.25,"Wardrobe Malfunction Gremlin","A button or zipper fails!",1,0.5,"Cloak of Supreme Confidence","Thy next speaking task shall fill thee with a boldness that cannot be denied.",5,"Where Scholars Meet to Debate",0
42,4,"Scribe’s Tower","Title of a Thousand Revisions","Revise or finalize the title!",Soldier,2,15,0.4,"Endless Wordsmithing Curse","Thou dost change it thrice and remain unsatisfied!",1,0.5,"Scholar’s Epiphany","A perfect title idea shall emerge, as if delivered to thee by a muse.",5,"Where Knowledge is Written into Scholarly Form",0
43,4,"Scribe’s Tower","Abstract Abyss","Edit one sentence of the abstract!",Soldier,2,20,0.35,"Condensation Struggle","The abstract refuses to fit the word limit!",1,0.5,"Scroll of Perfect Clarity","The next abstract thou writes shall be as clear as a mountain spring.",10,"Where Knowledge is Written into Scholarly Form",0
44,4,"Scribe’s Tower","Journal Alignment Conundrum","Check submission guidelines & adjust formatting!",Soldier,2,15,0.35,"Reference Style Wraith","The journal requires a citation format overhaul!",1,0.5,"Journal’s Favor","Thy next submission shall be looked upon with great favor.",5,"Where Knowledge is Written into Scholarly Form",0
45,4,"Hall of Marvels","Final Button of Fate","Press submit and send the manuscript into the void!",Soldier,2,25,0.25,"Server Error Demon","The submission system crashes just after pressing submit!",1,0.5,"Editor’s Blessing","Peer review feedback shall be surprisingly merciful.",10,"Where Knowledge is Sought",0
46,3,"Hall of Marvels","Single Scroll of Judgment","Grade a single response, essay, or quiz question!",Soldier,2,10,0.4,"Illegible Ink Gremlin","Thou canst not decipher the student’s handwriting!",1,0.5,"Grading Lens of Clarity","Thy next grading task shall be completed swiftly, with perfect fairness.",5,"Where Knowledge is Sought",0
47,3,"Hall of Marvels","Constructive Rune","Write one meaningful comment on a student’s work!",Soldier,2,15,0.35,"Over-Explanation Curse","Thy feedback grows longer than the student’s work!",1,0.5,"Pen of Concise Wisdom","The feedback thou gives next shall be so clear and brief, it will be instantly understood.",5,"Where Knowledge is Sought",0
48,3,"Hall of Marvels","Swift Assessment Sprint","Grade for 5 uninterrupted minutes!",Soldier,2,20,0.3,"Score Sheet Specter","A grading rubric is missing or inconsistent!",1,0.5,"Scroll of Perfect Rubrics","Thy next grading session shall pass in the blink of an eye.",10,"Where Knowledge is Sought",300
49,3,"Hall of Marvels","Summoning of the Inbox","Open and skim unread emails without responding!",Soldier,2,10,0.4,"Endless Thread Curse","A single email spawns five follow-ups!",1,0.5,"Amulet of Inbox Mastery","Thy future emails shall be answered with half the effort, for thy thoughts are organized and swift.",5,"Where Knowledge is Sought",0
50,3,"Hall of Marvels","Single Scroll of Response","Reply to one student email!",Soldier,2,15,0.35,"Cryptic Inquiry Gremlin","The student’s question makes no sense!",1,0.5,"Letter of Perfect Clarity","Thy next email reply shall be a model of perfect communication.",5,"Where Knowledge is Sought",0
51,3,"Hall of Marvels","Office Hour Invocation","Spend 10 minutes responding to student questions!",Soldier,2,20,0.3,"Student No-Show Curse","None attend thy office hours, and time is lost!",1,0.5,"Guide of Engaged Learners","Thy next discussion will be filled with an uncommon energy and passion from all.",10,"Where Knowledge is Sought",600
52,6,"Hall of Marvels","Roster of the Forgotten","Check or update attendance records!",Soldier,2,10,0.4,"Disappearing Student","A student on the roster has never been seen!",1,0.5,"Ledger of Perfect Recall","Thy future attendance tasks will be finished in half the time, for every name and face is now clear to thee.",5,"Where Knowledge is Sought",0
53,6,"Hall of Marvels","Form of Institutional Doom","Submit one administrative form!",Soldier,2,15,0.35,"Paperwork Phantom","The form format is incorrect, requiring resubmission!",1,0.5,"Scroll of Instant Approval","All forms thou submits from this point forward shall be accepted with ease.",5,"Where Knowledge is Sought",0
54,6,"Hall of Marvels","Calendar of Despair","Schedule a class, meeting, or deadline!",Soldier,2,15,0.3,"Scheduling Sphinx","The ideal time slot is already taken!",1,0.5,"Clock of Perfect Timing","Thy future scheduling tasks shall be completed in half the time, with no conflict in sight.",5,"Where Knowledge is Sought",0
