id,chance,name,description,bonusXp,profession,duration,iconURL
miniquest6,0.5,Momentum Charm,"Thou shalt feel a sudden surge of inspiration, giving thee power and focus for thy next writing session.",,,,NULL
miniquest7,0.5,Scroll of Formatting Mastery,Future citation tasks shall be done with great speed and perfect order.,,,,NULL
miniquest8,0.5,Forgotten Stamp Fairy,"The next form thou submits shall vanish from thy mind, for it is already approved and filed away.",,,,NULL
miniquest9,0.5,Timetable Tricksterâ€™s Favor,"All meetings this week shall align perfectly, leaving thee with a rare abundance of time for all other tasks.",,,,NULL
miniquest10,0.5,Tongue of Golden Speech,"Thy next explanation shall be so clear, it could charm a dragon from its hoard.",,,,NULL
miniquest11,0.5,Scholarâ€™s Guide of Engagement,The next class thou plans shall captivate all who listen.,,,,NULL
miniquest12,0.5,Amulet of Enthusiastic Discourse,All in thy next discussion shall be filled with a passion for the topic.,,,,NULL
miniquest13,0.5,Inkflow Rune,"The next paragraph shall flow from thee as if a river, perfectly formed and without struggle.",,,,NULL
miniquest14,0.5,Tome of Infinite Footnotes,Future citations shall be found without a trace of struggle.,,,,NULL
miniquest15,0.5,Scholarâ€™s Epiphany,"A major insight strikes thee, illuminating thy path forward.",,,,NULL
miniquest16,0.5,Scroll of Perfect Formatting,Thy next document shall be edited with perfect order and speed.,,,,NULL
miniquest17,0.5,Amulet of Presentation Clarity,"Thy next slide shall convey its message with a singular, perfect purpose.",,,,NULL
miniquest18,0.5,Golden Tongue Talisman,"Thy next spoken answer shall be flawless, a golden truth for all to hear.",,,,NULL
miniquest19,0.5,Scholarâ€™s Oratorical Gift,Thy next Q&A shall be a display of quick wit and profound knowledge.,,,,NULL
miniquest20,0.5,Cloak of Supreme Confidence,Thy next speaking task shall fill thee with a boldness that cannot be denied.,,,,NULL
miniquest21,0.5,Scholarâ€™s Epiphany,"A perfect title idea shall emerge, as if delivered to thee by a muse.",,,,NULL
miniquest22,0.5,Scroll of Perfect Clarity,The next abstract thou writes shall be as clear as a mountain spring.,,,,NULL
miniquest23,0.5,Journalâ€™s Favor,Thy next submission shall be looked upon with great favor.,,,,NULL
miniquest24,0.5,Editorâ€™s Blessing,Peer review feedback shall be surprisingly merciful.,,,,NULL
miniquest25,0.5,Grading Lens of Clarity,"Thy next grading task shall be completed swiftly, with perfect fairness.",,,,NULL
miniquest26,0.5,Pen of Concise Wisdom,"The feedback thou gives next shall be so clear and brief, it will be instantly understood.",,,,NULL
miniquest27,0.5,Scroll of Perfect Rubrics,Thy next grading session shall pass in the blink of an eye.,,,,NULL
miniquest28,0.5,Amulet of Inbox Mastery,"Thy future emails shall be answered with half the effort, for thy thoughts are organized and swift.",,,,NULL
miniquest29,0.5,Letter of Perfect Clarity,Thy next email reply shall be a model of perfect communication.,,,,NULL
miniquest30,0.5,Guide of Engaged Learners,Thy next discussion will be filled with an uncommon energy and passion from all.,,,,NULL
miniquest31,0.5,Ledger of Perfect Recall,"Thy future attendance tasks will be finished in half the time, for every name and face is now clear to thee.",,,,NULL
miniquest32,0.5,Scroll of Instant Approval,All forms thou submits from this point forward shall be accepted with ease.,,,,NULL
miniquest33,0.5,Clock of Perfect Timing,"Thy future scheduling tasks shall be completed in half the time, with no conflict in sight.",,,,NULL
